"Subject","Topic","Q_No","Question_EN","Question_HI","Opt1_EN","Opt1_HI","Opt2_EN","Opt2_HI","Opt3_EN","Opt3_HI","Opt4_EN","Opt4_HI","Opt5_EN","Opt5_HI","Correct_Option","Sol_EN","Sol_HI"
"Mathematics","Work and Time","MTH-1","A and B can do a piece of work in 10 and 12 days respectively. They started the work together and after 3 days A left the work. Find the total time taken to complete the work.","A और B किसी काम को क्रमशः 10 और 12 दिन में कर सकते हैं। दोनों ने साथ मिलकर काम शुरू किया और 3 दिन बाद A ने काम छोड़ दिया। काम पूरा होने में कुल कितना समय लगा?","8.4 days","8.4 दिन","9 days","9 दिन","7.5 days","7.5 दिन","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Total work = LCM(10,12) = 60 units. A eff = 6, B eff = 5. A worked for 3 days = 18 units. Remaining = 42 units. Time by B = 42/5 = 8.4 days.","कुल काम = 60। A की क्षमता = 6, B की क्षमता = 5। A का 3 दिन का काम = 18 यूनिट। बचा काम = 42। B का समय = 42/5 = 8.4 दिन।"
"Mathematics","Work and Time","MTH-2","A, B and C can complete a work in 10, 12 and 15 days respectively. They started together. After 2 days A left and after 2 more days C left. In how many days was the work completed?","A, B और C किसी काम को क्रमशः 10, 12 और 15 दिन में कर सकते हैं। तीनों ने साथ काम शुरू किया। 2 दिन बाद A ने काम छोड़ दिया और उसके 2 दिन बाद C ने भी काम छोड़ दिया। पूरा काम कितने दिनों में समाप्त हुआ?","6.4 days","6.4 दिन","6 days","6 दिन","7.5 days","7.5 दिन","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Total work = LCM(10,12,15) = 60. Eff: A=6, B=5, C=4. A worked 2 days=12, C worked 4 days=16. Remaining=32. B time = 32/5 = 6.4 days.","कुल काम = 60। क्षमता: A=6, B=5, C=4। A (2 दिन) = 12, C (4 दिन) = 16। बचा = 32। B का समय = 32/5 = 6.4 दिन।"
"Mathematics","Work and Time","MTH-3","A monkey climbs a 100-meter-high pole. In the 1st minute he climbs 6m and in the 2nd minute he slips 4m. In how much time will he reach the top?","एक बंदर 100 मीटर ऊँचे खंभे पर चढ़ता है। वह पहले मिनट में 6 मीटर चढ़ता है और दूसरे मिनट में 4 मीटर फिसल जाता है। वह कितने समय में खंभे के शीर्ष पर पहुँच जाएगा?","95 minutes","95 मिनट","96 minutes","96 मिनट","100 minutes","100 मिनट","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Net climb = 2m in 2 mins. For (100-6) = 94m, it takes 94 mins. Next 1 min he climbs 6m to reach top. Total = 95 mins.","2 मिनट में शुद्ध चढ़ाई = 2 मीटर। 94 मीटर के लिए = 94 मिनट। अगले 1 मिनट में 6 मीटर चढ़कर शीर्ष पर पहुँचेगा = 95 मिनट।"
"Mathematics","Pipes and Cisterns","MTH-4","Two pipes A and B can fill a cistern in 48 and 36 minutes respectively. After how much time should pipe A be closed so that the cistern fills in 25 min 30 sec?","दो नल A और B किसी टंकी को क्रमशः 48 और 36 मिनट में भर सकते हैं। दोनों को एक साथ खोला गया, कितनी देर बाद नल A को बंद किया जाए कि पूरी टंकी 25 मिनट 30 सेकंड में भर जाए?","14 mins","14 मिनट","12 mins","12 मिनट","16 mins","16 मिनट","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Total capacity = 144. Eff A=3, B=4. B works 25.5 mins = 102 units. Remaining = 42 units. Time for A = 42/3 = 14 mins.","कुल क्षमता = 144। A=3, B=4। B (25.5 मिनट) = 102 यूनिट। बचा काम = 42। A का समय = 42/3 = 14 मिनट।"
"Mathematics","Pipes and Cisterns","MTH-5","A leak at the bottom of a tank can empty it in 6 hours. A fill pipe adding 4 liters/min is opened and now tank empties in 8 hours. Find the capacity of the tank.","टंकी के नीचे एक रिसाव इसे 6 घंटे में खाली कर सकता है। एक अन्य नल जो 4 लीटर प्रति मिनट पानी भरता है, उसे भी खोल दिया गया। अब टंकी 8 घंटे में खाली होती है। टंकी की क्षमता ज्ञात करें।","5760 liters","5760 लीटर","5000 liters","5000 लीटर","6000 liters","6000 लीटर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Fill pipe eff = 1/6 - 1/8 = 1/24. Takes 24 hrs = 1440 mins to fill. Capacity = 1440 * 4 = 5760 liters.","भरने वाले नल की क्षमता = 1/6 - 1/8 = 1/24। समय = 24 घंटे = 1440 मिनट। कुल क्षमता = 1440 × 4 = 5760 लीटर।"
"Mathematics","Time, Speed and Distance","MTH-6","A person walking at 5/7 of his usual speed reaches his destination 20 minutes late. Find his usual time to reach the destination.","एक व्यक्ति अपनी वास्तविक चाल की 5/7 चाल से चलने पर 20 मिनट की देरी से पहुँचता है। उसका वास्तविक समय ज्ञात कीजिए।","50 minutes","50 मिनट","40 minutes","40 मिनट","70 minutes","70 मिनट","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Speed ratio = 5:7 => Time ratio = 7:5. Diff = 2 units = 20 mins => 1 unit = 10 mins. Usual time = 5 units = 50 mins.","चाल अनुपात = 5:7 ⇒ समय अनुपात = 7:5। अंतर = 2 यूनिट = 20 मिनट ⇒ 1 यूनिट = 10 मिनट। मूल समय = 5 × 10 = 50 मिनट।"
"Mathematics","Time, Speed and Distance","MTH-7","A policeman sees a thief at a distance of 200m. The thief runs at 10 km/hr and policeman chases at 12 km/hr. How far will the thief run before being caught?","एक चोर को एक पुलिसकर्मी 200 मीटर की दूरी पर देखता है। चोर 10 किमी/घंटा और पुलिसकर्मी 12 किमी/घंटा की गति से भागता है। पकड़े जाने से पहले चोर कितनी दूरी तय कर चुका होगा?","1000 meters","1000 मीटर","1200 meters","1200 मीटर","800 meters","800 मीटर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Speed ratio = 12:10 = 6:5. Distance ratio = 6:5. Diff = 1 unit = 200m. Thief distance = 5 units = 1000m.","चाल का अनुपात = 12:10 = 6:5। दूरी अनुपात = 6:5। अंतर = 1 यूनिट = 200 मीटर। चोर द्वारा दूरी = 5 × 200 = 1000 मीटर।"
"Mathematics","Train, Boat and Stream","MTH-8","A 180-meter long train traveling at a speed of 54 km/hr crosses a platform in 20 seconds. Find the length of the platform.","180 मीटर लंबी एक रेलगाड़ी 54 किमी/घंटा की चाल से चलते हुए एक प्लेटफॉर्म को 20 सेकंड में पार करती है। प्लेटफॉर्म की लंबाई ज्ञात करें।","120 m","120 मीटर","150 m","150 मीटर","100 m","100 मीटर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Speed = 54 * 5/18 = 15 m/s. Distance in 20s = 15 * 20 = 300m. Platform = 300 - 180 = 120m.","चाल = 15 मीटर/सेकंड। 20 सेकंड में तय दूरी = 300 मीटर। प्लेटफॉर्म = 300 - 180 = 120 मीटर।"
"Mathematics","Trigonometry","MTH-9","Find the simplest value of the expression (sin θ)/(1 + cos θ) + (1 + cos θ)/(sin θ).","व्यंजक (sin θ)/(1 + cos θ) + (1 + cos θ)/(sin θ) का सरलतम मान ज्ञात कीजिए।","2 sec θ","2 sec θ","2 cosec θ","2 cosec θ","2 sin θ","2 sin θ","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Numerator = sin²θ + (1+cosθ)² = 2(1+cosθ). Expression = 2(1+cosθ) / [sinθ(1+cosθ)] = 2/sinθ = 2 cosec θ.","अंश = sin²θ + 1 + 2cosθ + cos²θ = 2(1+cosθ)। व्यंजक = 2/sinθ = 2 cosec θ।"
"Mathematics","Height and Distance","MTH-10","The angle of elevation of the top of a tower from a point on the ground is 30°. On moving 20m towards the foot, it becomes 60°. Find the height of the tower.","जमीन पर स्थित किसी बिंदु से एक मीनार के शिखर का उन्नयन कोण 30° है। मीनार के पाद की ओर 20 मीटर चलने पर यह कोण 60° हो जाता है। मीनार की ऊँचाई ज्ञात कीजिए।","10√3 meters","10√3 मीटर","20√3 meters","20√3 मीटर","15√3 meters","15√3 मीटर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Formula: d = h(cot 30° - cot 60°) => 20 = h(√3 - 1/√3) = h(2/√3) => h = 10√3 meters.","20 = h(√3 - 1/√3) ⇒ 20 = h(2/√3) ⇒ ऊँचाई h = 10√3 मीटर।"
