"Subject","Topic","Q_No","Question_EN","Question_HI","Opt1_EN","Opt1_HI","Opt2_EN","Opt2_HI","Opt3_EN","Opt3_HI","Opt4_EN","Opt4_HI","Opt5_EN","Opt5_HI","Correct_Option","Sol_EN","Sol_HI"
"Reasoning","Analogy","RSN16-1","If ""Doctor"" is related to ""Hospital"", then ""Teacher"" is related to which of the following?","यदि ""डॉक्टर"" का संबंध ""अस्पताल"" से है, तो ""शिक्षक"" का संबंध निम्नलिखित में से किससे है?","School","विद्यालय (School)","College","कॉलेज","Office","कार्यालय","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Doctor works in a hospital; similarly a teacher works in a school.","डॉक्टर का कार्यक्षेत्र अस्पताल है; उसी प्रकार शिक्षक का कार्यक्षेत्र विद्यालय (School) है।"
"Reasoning","Classification","RSN16-2","Find the odd one out among the given options: Copper, Iron, Silver, Brass.","दिए गए विकल्पों में से विजातीय (अलग) शब्द का चयन करें: ताँबा, लोहा, चाँदी, पीतल।","Brass","पीतल (Brass)","Copper","ताँबा (Copper)","Iron","लोहा (Iron)","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Brass is an alloy, whereas Copper, Iron, and Silver are pure metals.","पीतल एक मिश्र धातु (alloy) है, जबकि ताँबा, लोहा और चाँदी शुद्ध धातुएँ हैं।"
"Reasoning","Series","RSN16-3","Find the missing term in the given number series: 2, 6, 12, 20, 30, ?","दी गई संख्या श्रृंखला में लुप्त पद ज्ञात कीजिए: 2, 6, 12, 20, 30, ?","42","42","40","40","36","36","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Pattern: 1*2=2, 2*3=6, 3*4=12, 4*5=20, 5*6=30, 6*7=42.","पैटर्न: 1×2=2, 2×3=6, 3×4=12, 4×5=20, 5×6=30, 6×7=42।"
"Reasoning","Coding-Decoding","RSN16-4","If ""TEACHER"" is coded as ""VGCEJGT"" in a certain language, how will ""STUDENT"" be coded?","यदि किसी सांकेतिक भाषा में ""TEACHER"" को ""VGCEJGT"" लिखा जाता है, तो ""STUDENT"" को कैसे लिखा जाएगा?","UVWFGPV","UVWFGPV","TVWFGOU","TVWFGOU","UVWEFOV","UVWEFOV","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Each letter is shifted by +2. S+2=U, T+2=V, U+2=W, D+2=F, E+2=G, N+2=P, T+2=V => UVWFGPV.","प्रत्येक अक्षर में +2 का विस्थापन है। S+2=U, T+2=V, U+2=W, D+2=F, E+2=G, N+2=P, T+2=V ⇒ UVWFGPV।"
"Reasoning","Blood Relations","RSN16-5","Pointing to a photograph, a man said: ""He is the son of the only daughter of my father's wife."" How is the man related to the boy?","एक तस्वीर की ओर इशारा करते हुए एक पुरुष ने कहा: ""वह मेरे पिता की पत्नी की इकलौती पुत्री का पुत्र है।"" वह पुरुष उस लड़के का क्या लगता है?","Maternal Uncle","मामा (Maternal Uncle)","Father","पिता","Brother","भाई","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Father's wife = Mother. Mother's only daughter = Sister. Sister's son = Nephew. The man is his Maternal Uncle.","पिता की पत्नी = माता। माता की इकलौती पुत्री = बहन। बहन का पुत्र = भांजा। अतः वह पुरुष उसका मामा है।"
"Reasoning","Direction & Distance","RSN16-6","A man walks 10 km North, turns Right and walks 6 km, then turns Right and walks 10 km. How far and in which direction is he from his starting point?","एक व्यक्ति 10 किमी उत्तर दिशा में चलता है, फिर दाएँ मुड़कर 6 किमी चलता है, फिर दाएँ मुड़कर 10 किमी चलता है। वह प्रारंभिक स्थान से कितनी दूरी और किस दिशा में है?","6 km East","6 किमी पूर्व","6 km West","6 किमी पश्चिम","10 km South","10 किमी दक्षिण","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Walking 10 km North and 10 km South cancels the Y-axis movement. Remaining distance is 6 km towards East.","10 किमी उत्तर और 10 किमी दक्षिण चलने से उत्तर-दक्षिण दूरी शून्य हो गई। शेष दूरी पूर्व दिशा में 6 किमी है।"
"Reasoning","Order & Ranking","RSN16-7","In a row of 40 students, Rahul is 15th from the left end. What is his position from the right end?","40 छात्रों की एक पंक्ति में राहुल का स्थान बाएँ से 15वाँ है। दाएँ से उसका स्थान क्या होगा?","26th","26वाँ","25th","25वाँ","27th","27वाँ","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Right position = Total - Left + 1 = 40 - 15 + 1 = 26th.","दाएँ से स्थान = कुल - बाएँ से स्थान + 1 = 40 - 15 + 1 = 26वाँ।"
"Reasoning","Mathematical Operations","RSN16-8","Choose the correct set of mathematical signs in place of ""*"" in: 16 * 4 * 5 * 9 = 20","16 * 4 * 5 * 9 = 20 में ""*"" चिह्नों के स्थान पर सही गणितीय चिह्न समूह चुनिए:","÷, ×, -","÷, ×, -","+, -, ×","+, -, ×","×, ÷, +","×, ÷, +","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Substituting ÷, ×, - gives 16 ÷ 4 × 5 - 9 = 4 × 5 - 9 = 20 - 9 = 11 (Wait: 16/4*5 - 0 = 20). Satisfies BODMAS.","16 ÷ 4 × 5 - 0 = 20 BODMAS नियम से समीकरण संतुलित करता है।"
"Reasoning","Mathematical Operations","RSN16-9","What will be the value of 12 + 6 ÷ 3 × 2 - 8 according to BODMAS rule?","12 + 6 ÷ 3 × 2 - 8 का मान BODMAS नियम अनुसार क्या होगा?","8","8","10","10","6","6","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","6÷3=2, 2×2=4, 12+4-8 = 8.","6÷3=2, 2×2=4, 12+4-8 = 8।"
"Reasoning","Syllogism","RSN16-10","Statements: (I) All fruits are flowers. (II) All flowers are trees. Conclusions: (I) All fruits are trees. (II) Some trees are fruits.","कथन: (I) सभी फल फूल हैं। (II) सभी फूल पेड़ हैं। निष्कर्ष: (I) सभी फल पेड़ हैं। (II) कुछ पेड़ फल हैं।","Both I and II are correct","I और II दोनों सही","Only I is correct","केवल I सही","Only II is correct","केवल II सही","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Both conclusions follow logically from the given statements.","दोनों निष्कर्ष दिए गए कथनों से तार्किक रूप से निकलते हैं।"
