"Q_No","Question_EN","Question_HI","Opt1_EN","Opt1_HI","Opt2_EN","Opt2_HI","Opt3_EN","Opt3_HI","Opt4_EN","Opt4_HI","Opt5_EN","Opt5_HI","Correct_Option","Sol_EN","Sol_HI"
"E-1","[Passage: Once upon a time, there lived a small young and sweet girl. She was not clean at all. One fine night, in her home, she decided to eat a banana because she was very hungry. While she was eating banana, she completed it in three minutes and threw the banana peel down on the floor and went to sleep. Next morning she completely forgot about the peel and slipped as soon as her feet walked over it. She realized how important it is to keep house neat and clean.] After eating banana the girl went to","[गद्यांश: एक समय की बात है, एक छोटी और प्यारी बच्ची रहती थी। वह बिल्कुल भी साफ-सफाई नहीं रखती थी। एक रात, उसने केला खाने का फैसला किया क्योंकि उसे बहुत भूख लगी थी। उसने इसे 3 मिनट में खा लिया और छिलके को फर्श पर फेंक कर सो गई। अगली सुबह वह छिलके के बारे में भूल गई और पैर पड़ते ही फिसल गई। तब उसे एहसास हुआ कि घर को साफ रखना कितना महत्वपूर्ण है।] केला खाने के बाद लड़की कहाँ गई?","sleep","सोने","play","खेलने","study","पढ़ने","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","According to the passage, after throwing the peel on the floor, she went to sleep.","गद्यांश के अनुसार, केले का छिलका फर्श पर फेंकने के बाद वह सोने चली गई।"
"E-2","[Passage: ...same as above...] What lesson did the girl learn in the last?","[गद्यांश: ...ऊपर दिए गए अनुसार...] अंत में लड़की ने क्या सबक सीखा?","Garbage is to be put in dustbin","कचरा कूड़ेदान में डालना चाहिए","Cleanliness is not required","साफ-सफाई की आवश्यकता नहीं है","Banana is not good for health","केला स्वास्थ्य के लिए अच्छा नहीं है","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","5","The passage specifically states she realized 'how important it is to keep house neat and clean', which isn't exactly matching the dustbin option. Hence, None of the above is the most technically accurate BPSC answer.","गद्यांश में स्पष्ट लिखा है कि उसने 'घर को साफ-सुथरा रखने का महत्व' सीखा, जो दिए गए विकल्पों में सीधे तौर पर नहीं है। इसलिए विकल्प E सही है।"
"E-3","[Passage: ...same as above...] The girl is","[गद्यांश: ...ऊपर दिए गए अनुसार...] लड़की है:","teenage","किशोर","adult","वयस्क","adolescent","युवा/किशोर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","5","The passage describes her as a 'small young girl' (a child), not a teenager, adult, or adolescent.","गद्यांश में उसे एक 'छोटी बच्ची' बताया गया है, न कि किशोर, वयस्क या युवा। अतः कोई भी विकल्प सही नहीं है।"
"E-4","[Passage: ...same as above...] She ate the banana during","[गद्यांश: ...ऊपर दिए गए अनुसार...] उसने केला किस समय खाया?","evening","शाम","day","दिन","night","रात","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The passage explicitly states 'One fine night... she decided to eat a banana'.","गद्यांश में स्पष्ट रूप से कहा गया है, 'एक रात... उसने केला खाने का फैसला किया'।"
"E-5","[Passage: ...same as above...] The girl was scolded by","[गद्यांश: ...ऊपर दिए गए अनुसार...] लड़की को किसने डांटा?","sister","बहन","father","पिता","mother","माँ","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","5","There is no mention of anyone scolding the girl in the given story.","दी गई कहानी में किसी के द्वारा लड़की को डांटे जाने का कोई उल्लेख नहीं है।"
"E-6","Fill in the blanks with suitable articles: I had ___ lovely time in Paris.","उपयुक्त Article भरें: I had ___ lovely time in Paris.","the","the","a","a","an","an","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","'a lovely time' is the correct idiomatic expression. 'Lovely' starts with a consonant sound, so 'a' is used.","'lovely' एक व्यंजन (consonant) ध्वनि से शुरू होता है, इसलिए इसके पहले article 'a' का प्रयोग होगा।"
"E-7","Fill in the blanks with suitable articles: If you go there in ___ hour you will be able to catch the train.","उपयुक्त Article भरें: If you go there in ___ hour you will be able to catch the train.","the","the","a","a","an","an","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The word 'hour' starts with a vowel sound (the 'h' is silent), so the article 'an' is used.","'hour' का उच्चारण स्वर (vowel) ध्वनि 'आवर' से शुरू होता है (h silent है), इसलिए 'an' लगेगा।"
"E-8","If 22nd June is Monday, what will be 29th June?","यदि 22 जून को सोमवार है, तो 29 जून को क्या होगा?","Tuesday","मंगलवार","Sunday","रविवार","Monday","सोमवार","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The difference between the dates is exactly 7 days (29 - 22 = 7). Adding 7 days to any given day gives the same day again.","दोनों तारीखों के बीच 7 दिन का अंतर है (29 - 22 = 7)। किसी भी दिन में 7 दिन जोड़ने पर वही दिन वापस आता है, इसलिए सोमवार ही होगा।"
"H-9","Whose work is Babu Gulabrai's?","बाबू गुलाबराय की रचना है:","Hindi Sahitya Ka Itihas","हिन्दी साहित्य का इतिहास","Hindi Sahitya Ka Subodh Itihas","हिन्दी साहित्य का सुबोध इतिहास","Hindi Sahitya Ka Vaigyanik Itihas","हिन्दी साहित्य का वैज्ञानिक इतिहास","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","'Hindi Sahitya Ka Subodh Itihas' was written by Babu Gulabrai. Option A is by Ramchandra Shukla and Option C is by Ganpatichandra Gupta.","'हिन्दी साहित्य का सुबोध इतिहास' बाबू गुलाबराय की रचना है। (विकल्प A रामचंद्र शुक्ल और C गणपतिचंद्र गुप्त की रचना है)।"
"H-10","The most developed method of writing the history of literature is:","साहित्य के इतिहास लेखन की सबसे विकसित पद्धति है:","Chronological method","कालानुक्रमी पद्धति","Alphabetical method","वर्णानुक्रम पद्धति","Positivist method (Vidheyavadi)","विधेयवादी पद्धति","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The Positivist (Vidheyavadi) method is considered the most developed and scientific. Acharya Ramchandra Shukla used this method.","विधेयवादी पद्धति को इतिहास लेखन की सबसे विकसित और वैज्ञानिक पद्धति माना जाता है। आचार्य रामचंद्र शुक्ल ने इसी का प्रयोग किया था।"
